Dates	Day of the Week, M=1	Weekday	Count	Net Changes
42290	2	TRUE	4	-31.12
42291	3	TRUE	8	-86.01
42292	4	TRUE	5	-84.4
42293	5	TRUE	9	-117.28
42294	6	FALSE	4	-25.02
42295	7	FALSE	7	-130.82
42296	1	TRUE	7	-275.29
42297	2	TRUE	3	-48.4
42298	3	TRUE	7	35.67
42299	4	TRUE	2	-20.82
42300	5	TRUE	7	-103.38
42301	6	FALSE	2	-46.3
42302	7	FALSE	4	-65.26
42303	1	TRUE	2	-25.82
42304	2	TRUE	1	-5.82
42305	3	TRUE	2	-15.82
42306	4	TRUE	4	-42.36
42307	5	TRUE	7	-99.05
42308	6	FALSE	6	-202.63
42309	7	FALSE	4	-59.5
42310	1	TRUE	1	-6.09
42311	2	TRUE	2	-13.48
42312	3	TRUE	7	-54.63
42313	4	TRUE	5	-70.69
42314	5	TRUE	6	-46.42
42315	6	FALSE	5	-95.83
42316	7	FALSE	5	-163.1
42317	1	TRUE	5	-62.49
42318	2	TRUE	7	-108.9
42319	3	TRUE	10	-134.63
42320	4	TRUE	4	-47.18
42321	5	TRUE	1	-114.46
42322	6	FALSE	5	-151.35
42323	7	FALSE	4	-30.19
42324	1	TRUE	2	-28.64
42325	2	TRUE	1	-52.62
42326	3	TRUE	7	-186.7
42327	4	TRUE	3	-31.08
42328	5	TRUE	4	-11.08
42329	6	FALSE	6	-26.77
42330	7	FALSE	5	-94.9
42331	1	TRUE	6	-125.59
42332	2	TRUE	3	-42.93
42333	3	TRUE	7	-142.29
42334	4	TRUE	2	-25.99
42335	5	TRUE	1	-65.41
42336	6	FALSE	7	-133.23
42337	7	FALSE	7	-179.05
42338	1	TRUE	5	-83.27
42339	2	TRUE	4	-28.49
42340	3	TRUE	6	-99.31
42341	4	TRUE	2	-14.43
42342	5	TRUE	4	-87.07
42343	6	FALSE	1	-100.32
42344	7	FALSE	3	-48.55
42345	1	TRUE	5	-87.38
42346	2	TRUE	1	0
42347	3	TRUE	5	-106.08
42348	4	TRUE	2	-81.32
42349	5	TRUE	8	-155.47
42350	6	FALSE	10	-130.12
42351	7	FALSE	12	-175.4
42352	1	TRUE	5	-100.08
42353	2	TRUE	3	-36.73
42354	3	TRUE	1	0
42355	4	TRUE	1	0
42356	5	TRUE	1	0
42357	6	FALSE	1	0
42358	7	FALSE	1	0
42359	1	TRUE	1	0
42360	2	TRUE	3	-75.15
42361	3	TRUE	1	0
42362	4	TRUE	1	0
42363	5	TRUE	1	0
42364	6	FALSE	1	0
42365	7	FALSE	2	-75.37
42366	1	TRUE	3	-75.05
42367	2	TRUE	1	-12.99
42368	3	TRUE	6	-242.44
42369	4	TRUE	6	-349.2
42370	5	TRUE	3	-26.07
42371	6	FALSE	3	-117.63
42372	7	FALSE	8	-196.97
42373	1	TRUE	4	-77.75
42374	2	TRUE	5	-82.39
42375	3	TRUE	3	127.35
42376	4	TRUE	4	-76.98
42377	5	TRUE	3	-58.14
42378	6	FALSE	4	-200.77
42379	7	FALSE	6	-181.78
42380	1	TRUE	2	-159.29
42381	2	TRUE	1	-1.76
42382	3	TRUE	7	-135.22
42383	4	TRUE	1	-27.56
42384	5	TRUE	2	-13.3
42385	6	FALSE	4	-104.78
42386	7	FALSE	2	-26.29
42387	1	TRUE	2	-74.52
42388	2	TRUE	5	-239.15
42389	3	TRUE	1	-8.95
42390	4	TRUE	2	-33.03
42391	5	TRUE	7	-239.38
42392	6	FALSE	4	120.7
42393	7	FALSE	3	-49.76
42394	1	TRUE	6	-106.71
42395	2	TRUE	2	-6.61
42396	3	TRUE	2	-79.27
42397	4	TRUE	1	0
42398	5	TRUE	5	-196.03
42399	6	FALSE	6	-262.22
42400	7	FALSE	5	-90.97
42401	1	TRUE	4	-35.37
42402	2	TRUE	2	-7
42403	3	TRUE	1	0
42404	4	TRUE	1	-5
42405	5	TRUE	5	-134.91
42406	6	FALSE	6	-174.18
42407	7	FALSE	2	-58.98
42408	1	TRUE	1	-9.99
42409	2	TRUE	3	-24.44
42410	3	TRUE	3	-28.54
42411	4	TRUE	4	-36.02
42412	5	TRUE	4	-93.68
42413	6	FALSE	4	-101.64
42414	7	FALSE	3	-55.95
42415	1	TRUE	3	-41.35
42416	2	TRUE	1	0
42417	3	TRUE	1	-20
42418	4	TRUE	2	-20.93
42419	5	TRUE	4	-98.87
42420	6	FALSE	5	-92.25
42421	7	FALSE	7	-216.85
42422	1	TRUE	1	-6.74
42423	2	TRUE	2	-70.45
42424	3	TRUE	3	-144.25
42425	4	TRUE	2	-39.75
42426	5	TRUE	3	-51.58
42427	6	FALSE	4	-114.53
42428	7	FALSE	2	-115.74
42429	1	TRUE	1	0
42430	2	TRUE	6	-199.84
42431	3	TRUE	4	-128.87
42432	4	TRUE	3	-46.57
42433	5	TRUE	5	-55.81
42434	6	FALSE	5	-85.48
42435	7	FALSE	3	-77.35
42436	1	TRUE	4	-32.59
42437	2	TRUE	2	-27
42438	3	TRUE	7	-68.01
42439	4	TRUE	5	-91.14
42440	5	TRUE	6	-96.21
